postsyn_consensus_list,presyn_consensus,ER_consensus,Golgi_consensus,mito_consensus,cytoskeleton_consensus,cytoplasm_consensus,nucleus_consensus
NA,NA,NA,NA,NA,NA,NA,VWA5A
NA,NA,NA,NA,NA,NA,NA,WAC
NA,NA,NA,NA,NA,NA,NA,WBP4
NA,NA,NA,NA,NA,NA,NA,WDHD1
NA,NA,NA,NA,NA,NA,NA,WDR12
NA,NA,NA,NA,NA,NA,NA,WDR19
NA,NA,NA,NA,NA,NA,NA,WDR27
NA,NA,NA,NA,NA,NA,NA,WDR4
NA,NA,NA,NA,NA,NA,NA,WDR55
NA,NA,NA,NA,NA,NA,NA,WDR76
NA,NA,NA,NA,NA,NA,NA,WDYHV1
NA,NA,NA,NA,NA,NA,NA,WEE1
NA,NA,NA,NA,NA,NA,NA,WIZ
NA,NA,NA,NA,NA,NA,NA,WRAP53
NA,NA,NA,NA,NA,NA,NA,WRN
NA,NA,NA,NA,NA,NA,NA,WRNIP1
NA,NA,NA,NA,NA,NA,NA,WT1
NA,NA,NA,NA,NA,NA,NA,WWTR1
NA,NA,NA,NA,NA,NA,NA,XPA
NA,NA,NA,NA,NA,NA,NA,XPC
NA,NA,NA,NA,NA,NA,NA,XPO5
NA,NA,NA,NA,NA,NA,NA,XPO6
NA,NA,NA,NA,NA,NA,NA,XPOT
NA,NA,NA,NA,NA,NA,NA,XRCC2
NA,NA,NA,NA,NA,NA,NA,XRCC3
NA,NA,NA,NA,NA,NA,NA,XRCC4
NA,NA,NA,NA,NA,NA,NA,XRCC5
NA,NA,NA,NA,NA,NA,NA,XRCC6
NA,NA,NA,NA,NA,NA,NA,XRRA1
NA,NA,NA,NA,NA,NA,NA,YAF2
NA,NA,NA,NA,NA,NA,NA,YAP1
NA,NA,NA,NA,NA,NA,NA,YBEY
NA,NA,NA,NA,NA,NA,NA,YBX2
NA,NA,NA,NA,NA,NA,NA,YEATS2
NA,NA,NA,NA,NA,NA,NA,YTHDC1
NA,NA,NA,NA,NA,NA,NA,YTHDC2
NA,NA,NA,NA,NA,NA,NA,YY2
NA,NA,NA,NA,NA,NA,NA,ZBED4
NA,NA,NA,NA,NA,NA,NA,ZBED6
NA,NA,NA,NA,NA,NA,NA,ZBTB1
NA,NA,NA,NA,NA,NA,NA,ZBTB10
NA,NA,NA,NA,NA,NA,NA,ZBTB11
NA,NA,NA,NA,NA,NA,NA,ZBTB14
NA,NA,NA,NA,NA,NA,NA,ZBTB18
NA,NA,NA,NA,NA,NA,NA,ZBTB20
NA,NA,NA,NA,NA,NA,NA,ZBTB21
NA,NA,NA,NA,NA,NA,NA,ZBTB22
NA,NA,NA,NA,NA,NA,NA,ZBTB24
NA,NA,NA,NA,NA,NA,NA,ZBTB25
NA,NA,NA,NA,NA,NA,NA,ZBTB34
NA,NA,NA,NA,NA,NA,NA,ZBTB38
NA,NA,NA,NA,NA,NA,NA,ZBTB4
NA,NA,NA,NA,NA,NA,NA,ZBTB40
NA,NA,NA,NA,NA,NA,NA,ZBTB41
NA,NA,NA,NA,NA,NA,NA,ZBTB42
NA,NA,NA,NA,NA,NA,NA,ZBTB43
NA,NA,NA,NA,NA,NA,NA,ZBTB44
NA,NA,NA,NA,NA,NA,NA,ZBTB46
NA,NA,NA,NA,NA,NA,NA,ZBTB49
NA,NA,NA,NA,NA,NA,NA,ZBTB5
NA,NA,NA,NA,NA,NA,NA,ZBTB6
NA,NA,NA,NA,NA,NA,NA,ZBTB7A
NA,NA,NA,NA,NA,NA,NA,ZBTB7B
NA,NA,NA,NA,NA,NA,NA,ZBTB8A
NA,NA,NA,NA,NA,NA,NA,ZC3H11A
NA,NA,NA,NA,NA,NA,NA,ZC3H12D
NA,NA,NA,NA,NA,NA,NA,ZC3H4
NA,NA,NA,NA,NA,NA,NA,ZC3HC1
NA,NA,NA,NA,NA,NA,NA,ZCCHC12
NA,NA,NA,NA,NA,NA,NA,ZCCHC17
NA,NA,NA,NA,NA,NA,NA,ZCCHC4
NA,NA,NA,NA,NA,NA,NA,ZCCHC8
NA,NA,NA,NA,NA,NA,NA,ZCCHC9
NA,NA,NA,NA,NA,NA,NA,ZEB1
NA,NA,NA,NA,NA,NA,NA,ZEB2
NA,NA,NA,NA,NA,NA,NA,ZFAT
NA,NA,NA,NA,NA,NA,NA,ZFC3H1
NA,NA,NA,NA,NA,NA,NA,ZFHX2
NA,NA,NA,NA,NA,NA,NA,ZFHX3
NA,NA,NA,NA,NA,NA,NA,ZFHX4
NA,NA,NA,NA,NA,NA,NA,ZFP1
NA,NA,NA,NA,NA,NA,NA,ZFP14
NA,NA,NA,NA,NA,NA,NA,ZFP2
NA,NA,NA,NA,NA,NA,NA,ZFP219
NA,NA,NA,NA,NA,NA,NA,ZFP28
NA,NA,NA,NA,NA,NA,NA,ZFP281
NA,NA,NA,NA,NA,NA,NA,ZFP292
NA,NA,NA,NA,NA,NA,NA,ZFP3
NA,NA,NA,NA,NA,NA,NA,ZFP422
NA,NA,NA,NA,NA,NA,NA,ZFP462
NA,NA,NA,NA,NA,NA,NA,ZFP553
NA,NA,NA,NA,NA,NA,NA,ZFP609
NA,NA,NA,NA,NA,NA,NA,ZFP62
NA,NA,NA,NA,NA,NA,NA,ZFP638
NA,NA,NA,NA,NA,NA,NA,ZFP64
NA,NA,NA,NA,NA,NA,NA,ZFP69
NA,NA,NA,NA,NA,NA,NA,ZFP91
NA,NA,NA,NA,NA,NA,NA,ZFPM1
NA,NA,NA,NA,NA,NA,NA,ZFPM2
NA,NA,NA,NA,NA,NA,NA,ZFX
NA,NA,NA,NA,NA,NA,NA,ZGLP1
NA,NA,NA,NA,NA,NA,NA,ZGPAT
NA,NA,NA,NA,NA,NA,NA,ZHX1
NA,NA,NA,NA,NA,NA,NA,ZHX3
NA,NA,NA,NA,NA,NA,NA,ZIC1
NA,NA,NA,NA,NA,NA,NA,ZIC2
NA,NA,NA,NA,NA,NA,NA,ZIC3
NA,NA,NA,NA,NA,NA,NA,ZIC4
NA,NA,NA,NA,NA,NA,NA,ZKSCAN1
NA,NA,NA,NA,NA,NA,NA,ZKSCAN3
NA,NA,NA,NA,NA,NA,NA,ZMAT1
NA,NA,NA,NA,NA,NA,NA,ZMAT3
NA,NA,NA,NA,NA,NA,NA,ZMAT4
NA,NA,NA,NA,NA,NA,NA,ZMAT5
NA,NA,NA,NA,NA,NA,NA,ZMIZ1
NA,NA,NA,NA,NA,NA,NA,ZMIZ2
NA,NA,NA,NA,NA,NA,NA,ZMYND11
NA,NA,NA,NA,NA,NA,NA,ZMYND15
NA,NA,NA,NA,NA,NA,NA,ZNHIT1
NA,NA,NA,NA,NA,NA,NA,ZNHIT6
NA,NA,NA,NA,NA,NA,NA,ZNRD1
NA,NA,NA,NA,NA,NA,NA,ZRANB1
NA,NA,NA,NA,NA,NA,NA,ZRANB2
NA,NA,NA,NA,NA,NA,NA,ZRANB3
NA,NA,NA,NA,NA,NA,NA,ZSCAN18
NA,NA,NA,NA,NA,NA,NA,ZSCAN2
NA,NA,NA,NA,NA,NA,NA,ZSCAN20
NA,NA,NA,NA,NA,NA,NA,ZSCAN21
NA,NA,NA,NA,NA,NA,NA,ZXDB
NA,NA,NA,NA,NA,NA,NA,ZXDC
NA,NA,NA,NA,NA,NA,NA,ZZZ3
